id,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden
x0,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,
wup,,,T,,"Dmodel, Dff/tp",1,,
wgate,,,T,,"Dmodel, Dff/tp",1,,
wdown,,,T,,"Dff/tp, Dmodel",1,,
x00,x0,,I,,"Batch/dp, Seq/sp, Dmodel",1,,
xup,x00,wup,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dff/tp",1
xgate,x00,wgate,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dff/tp",1
xupgate,xup,xgate,M,"bsm,bsm->bsm","Batch/dp, Seq/sp, Dff/tp",1,"Batch/dp, Seq/sp, Dff/tp",1
xdown,xupgate,wdown,M,"bsm,mn->bsn","Batch/dp, Seq/sp, Dff/tp",1,"Dff/tp, Dmodel",1
x01,x0,,I,,"Batch/dp, Seq/sp, Dmodel",1,,
