id,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden
x0,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,
wup_shard,,,T,,"Dmodel/fsdp, Dff/1",1,,
wgate_shard,,,T,,"Dmodel/fsdp, Dff/1",1,,
wdown_shard,,,T,,"Dff/1, Dmodel/fsdp",1,,
wup,wup_shard,,I,,"Dmodel, Dff/1",1,,
wgate,wgate_shard,,I,,"Dmodel, Dff/1",1,,
wdown,wdown_shard,,I,,"Dff/1, Dmodel",1,,
x00,x0,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,
xup,x00,wup,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, Dff/1",1
xgate,x00,wgate,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, Dff/1",1
xupgate,xup,xgate,M,"bsm,bsm->bsm","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Batch/dp, (Seq/cp)/tp, Dff/1",1
xdown,xupgate,wdown,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dff/1",1,"Dff/1, Dmodel",1
