id,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,extra_attr
x,,,T,,"Batch/dp, (Seq/cp), Dmodel/(ep*1)",1,,,
wrouter,,,T,,"Dmodel/(ep*1), KExperts",1,,,
yrouter,x,wrouter,M,"bsm,mn->bsn","Batch/dp, (Seq/cp), Dmodel/(ep*1)",1,"Dmodel/(ep*1), KExperts",1,
yrouter2,yrouter,,R,,"Batch/dp, (Seq/cp), KExperts",1,"Batch/dp, (Seq/cp)*KExperts",1,
x1,x,,B,1*KExperts,"Batch/dp, (Seq/cp), Dmodel/(1*ep)",1,,,
xrouted,x1,,I,,"Batch/dp, (Seq/cp)*KExperts/(ep), Dmodel/1",1,,,
yrouted,,,T,,"Batch/dp, (Seq/cp)*KExperts/(ep), Dmodel",1/1,,,
y1,yrouted,,I,,"Batch/dp, (Seq/cp)*KExperts, Dmodel/(1*ep)",1,,,
y2,y1,yrouter2,M,"bsn,bs->bsn","Batch/dp, (Seq/cp)*KExperts, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts",1,
y,y2,,B,1*1/KExperts,"Batch/dp, (Seq/cp)*KExperts, Dmodel/(1*ep)",1,,,
