id,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,extra_attr
x,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,
w_sharded,,,T,,"Dmodel/fsdp, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,
w,w_sharded,,I,,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,
wqkv,w,,SLICE,2:(Head+2*KVHead)/tp,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,
qkv,x,wqkv,M,"bsm,mnh->bsnh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel, Dmodel/Head, (Head+2*KVHead)/tp",1,
q,qkv,,SLICE,3:Head/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,
k,qkv,,SLICE,3:KVHead/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,
v,qkv,,SLICE,3:KVHead/tp,"Batch/dp, (Seq/cp)/1, Dmodel/Head, (Head+2*KVHead)/tp",1,,,
attn,,,T,,"Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,,,
wo,w,,SLICE,2:Head/tp,"Dmodel, Dmodel/Head, (2*Head+2*KVHead)/tp",1,,,
wo1,wo,,R,,"Dmodel, Dmodel/Head, Head/tp",1,"Dmodel/Head, Head/tp, Dmodel",1,
o1,attn,wo1,M,"bsmh,mhn->bsn","Batch/dp, (Seq/cp)/1, Dmodel/Head, Head/tp",1,"Dmodel/Head, Head/tp, Dmodel",1,
o,o1,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,
