id,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,extra_attr
x,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel",1,,,
wrouter,,,T,,"Dmodel/(ep*1), KExperts",1,,,
yrouter,x,wrouter,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel",1,"Dmodel, KExperts",1,
yrouter2,yrouter,,R,,"Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,
x1,x,,B,1*KExperts,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,
xrouted,x1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,
yrouted,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel",1/1,,,
y1,yrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,
yrouter3,yrouter2,,SLICE,2:Dmodel/(1*ep),"Batch/dp, (Seq/cp)*KExperts/tp, 1",1,,,
y2,y1,yrouter3,E2,1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,
y,y2,,B,1*1/KExperts,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,
